country_code,country,population,pop_density,GDP,sdg_index,epi_score
AFG,Afghanistan,34.656032,53.08340532,60.28705023,46.8,37.74
ALB,Albania,2.876101,104.9671898,32.66991645,68.9,65.46
DZA,Algeria,40.606052,17.04889491,565.284,68.8,57.18
AGO,Angola,28.813463,23.11178551,172.438,50.2,37.44
ATG,Antigua and Barbuda,0.100963,229.4613636,2.121537299,-9999,59.18
ARG,Argentina,43.84743,16.0220668,810.714,72.5,59.3
ARM,Armenia,2.924816,102.7332631,23.95494292,71.7,62.07
AUS,Australia,24.127159,3.140616612,1071.58,75.9,74.12
AUT,Austria,8.747358,105.9990306,388.015,81.4,78.97
AZE,Azerbaijan,9.762274,118.0972624,156.138,70.8,62.33
BHS,Bahamas,0.391232,39.08411588,8.168481869,-9999,54.99
BHR,Bahrain,1.425171,1848.470817,64.33731963,64.6,55.15
BGD,Bangladesh,162.95156,1251.836521,540.894,56.2,29.56
BRB,Barbados,0.284996,662.7813953,4.773832887,66,55.76
BLR,Belarus,9.50712,46.8538761,159.171,77.1,64.98
BEL,Belgium,11.348159,374.7740753,477.288,80,77.38
BLZ,Belize,0.366954,16.0874178,2.879126894,66,57.79
BEN,Benin,10.872298,96.41981199,21.85289913,49.5,38.17
BTN,Bhutan,0.797765,20.92937534,6.584188915,65.5,47.22
BOL,Bolivia,10.887882,10.05066187,73.03543539,64.7,55.98
BIH,Bosnia and Herzegovina,3.516816,68.6878125,39.8364244,65.5,41.84
BWA,Botswana,2.25026,3.970603286,35.38137144,58.3,51.7
BRA,Brazil,207.652865,24.84438703,2912.06,69.5,60.7
BRN,Brunei Darussalam,0.423196,80.3028463,30.38072591,-9999,63.57
BGR,Bulgaria,7.127822,65.65790346,126.835,72.5,67.85
BFA,Burkina Faso,18.646433,68.1521674,30.62090813,49.9,42.83
BDI,Burundi,10.524117,409.8176402,7.589746511,51.8,27.43
CIV,CÃ´te d'Ivoire,23.695919,74.51546855,81.15293531,53.3,45.25
CPV,Cabo Verde,0.53956,133.8858561,3.277694564,-9999,56.94
KHM,Cambodia,15.76237,89.29509404,54.61859125,58.2,43.23
CMR,Cameroon,23.439189,49.58471156,78.44669479,52.8,40.81
CAN,Canada,36.286425,3.990365107,1563.5,78,72.18
CAF,Central African Republic,4.594621,7.375230344,2.976765097,36.7,36.42
TCD,Chad,14.452543,11.47755956,26.67816128,41.5,45.34
CHL,Chile,17.909754,24.08740175,406.672,71.6,57.49
CHN,China,1378.665,146.850662,19852,67.1,50.74
COL,Colombia,48.653419,43.85166201,638.543,64.8,65.22
COM,Comoros,0.795601,427.5126276,1.122714212,-9999,44.24
CRI,Costa Rica,4.857274,95.12875049,74.8092691,69.8,67.85
HRV,Croatia,4.1706,74.52823445,89.86469266,76.9,65.45
CUB,Cuba,11.475982,110.3247645,239.3704429,75.5,63.42
CYP,Cyprus,1.170125,126.6369048,26.68059236,70.6,72.6
CZE,Czech Republic,10.561633,136.7909986,331.137,81.9,67.68
COD,Dem. Rep. Congo,78.736153,34.73066452,58.57137876,42.7,30.41
DNK,Denmark,5.731118,135.6092471,263.438,84.2,81.6
DJI,Djibouti,0.942333,40.65284728,3.178944562,49.6,40.04
DMA,Dominica,0.073543,98.05733333,0.746560183,-9999,59.38
DOM,Dominican Republic,10.648791,220.4262265,150.136,67.2,64.71
ECU,Ecuador,16.385068,65.97305524,170.802,69,57.42
EGY,Egypt,95.688681,96.12605455,987.436,64.9,61.21
SLV,El Salvador,6.344722,306.2124517,50.69431137,62.9,53.91
GNQ,Equatorial Guinea,1.22149,43.54688057,29.51428575,-9999,60.4
ERI,Eritrea,6.975,69.05940594,7.795960491,-9999,39.34
EST,Estonia,1.316481,31.05640481,36.98661617,78.6,64.31
ETH,Ethiopia,102.403196,102.403196,164.694,53.5,44.78
FJI,Fiji,0.89876,49.19321292,7.592063187,-9999,53.09
FIN,Finland,5.495096,18.0825167,217.183,84,78.64
FRA,France,66.896109,122.1719547,2545.99,80.3,83.95
GAB,Gabon,1.979786,7.683416773,33.23268922,65.1,45.05
GMB,Gambia,2.038501,201.4329051,3.169632857,47.8,42.42
GEO,Georgia,3.7193,64.96028552,34.50307669,68.6,55.69
DEU,Germany,82.667685,236.9380482,3658.9,81.7,78.37
GHA,Ghana,28.206728,123.9638217,112.268,59.9,49.66
GRC,Greece,10.74674,83.37269201,260.905,72.9,73.6
GRD,Grenada,0.107317,315.6382353,1.413048536,-9999,50.93
GTM,Guatemala,16.582469,154.7449515,122.159,58.3,52.33
GIN,Guinea,12.395924,50.44735471,22.60196905,48.8,46.62
GNB,Guinea-Bissau,1.815698,64.56963016,2.708443938,-9999,44.67
GUY,Guyana,0.773303,3.928387097,5.619078875,64.7,47.93
HTI,Haiti,10.847334,393.5897678,17.94107659,44.1,33.74
HND,Honduras,9.112867,81.44487443,40.0261354,61.7,51.51
HUN,Hungary,9.817958,108.4497736,251.868,78,65.01
ISL,Iceland,0.334252,3.334184539,15.13374348,79.3,78.57
IND,India,1324.171354,445.3705797,8067.71,58.1,30.57
IDN,Indonesia,261.115456,144.1376574,2810.79,62.9,46.92
IRN,Iran,80.277428,49.28745058,1484.95,64.7,58.16
IRQ,Iraq,37.202572,85.65705471,598.475,56.6,43.2
IRL,Ireland,4.773095,69.28574539,300.666,77.9,78.77
ISR,Israel,8.5471,394.9676525,279.355,70.1,75.01
ITA,Italy,60.60059,206.026348,2103.77,75.5,76.96
JAM,Jamaica,2.881355,266.0530933,23.56838997,66.6,58.58
JPN,Japan,126.994511,348.350096,4857.83,80.2,74.69
JOR,Jordan,9.455802,106.5082451,79.33043971,66,62.2
KAZ,Kazakhstan,17.797032,6.592225803,417.217,71.1,54.56
KEN,Kenya,48.461567,85.14876305,141.779,54.9,47.25
KIR,Kiribati,0.114395,141.2283951,0.223659993,-9999,55.26
KWT,Kuwait,4.052584,227.4177329,279.068,62.4,62.28
KGZ,Kyrgyzstan,6.0827,31.71376434,20.02405521,70.7,54.86
LAO,Laos,6.758353,29.28229203,38.75592581,61.4,42.94
LVA,Latvia,1.960424,31.52820843,46.49657079,75.2,66.12
LBN,Lebanon,6.006668,587.1620723,79.69578445,64.9,61.08
LSO,Lesotho,2.203821,72.58962451,6.03043638,53,33.78
LBR,Liberia,4.613823,47.9009863,3.476780367,42.8,41.62
LBY,Libya,6.293253,3.576646737,90.96584509,-9999,49.79
LTU,Lithuania,2.872298,45.84673583,80.14887985,73.6,69.33
LUX,Luxembourg,0.582972,225.0857143,55.24532687,75,79.12
MKD,Macedonia,2.081206,82.522046,27.16968015,69.4,61.06
MDG,Madagascar,24.894551,42.78884668,34.76946297,43.5,33.73
MWI,Malawi,18.091575,191.8919707,19.60767469,48,49.21
MYS,Malaysia,31.187265,94.92395374,800.542,69.7,59.22
MDV,Maldives,0.417492,1391.64,6.087624113,-9999,52.14
MLI,Mali,17.994837,14.74756964,35.46934392,48.5,43.71
MLT,Malta,0.436947,1365.459375,15.61795686,77,80.9
MRT,Mauritania,4.301018,4.172909673,15.36444295,51.1,39.24
MUS,Mauritius,1.263473,622.4004926,24.72299486,62.1,56.63
MEX,Mexico,127.540423,65.60890095,2146.82,69.1,59.69
FSM,Micronesia,0.104937,149.91,0.341410405,-9999,49.8
MDA,Moldova,3.552,123.5587139,17.56228027,74.2,51.97
MNG,Mongolia,3.027398,1.948684312,34.39428811,64.2,57.51
MNE,Montenegro,0.622781,46.30342007,9.793141792,67.3,61.33
MAR,Morocco,35.276786,79.04276496,260.949,66.7,63.47
MOZ,Mozambique,28.829476,36.6609985,32.52770083,49.2,46.37
MMR,Myanmar,52.885223,80.9781696,280.559,59.5,45.32
NAM,Namibia,2.479713,3.01195569,24.43021954,59.3,58.46
NPL,Nepal,28.982771,202.1818696,66.59233737,61.6,31.44
NLD,Netherlands,17.018408,505.1471653,805.017,79.9,75.46
NZL,New Zealand,4.6927,17.82195891,165.518,77.6,75.96
NIC,Nicaragua,6.149928,51.10460362,31.59120583,63.1,55.04
NER,Niger,20.672987,16.32034973,18.90476514,44.8,35.74
NGA,Nigeria,185.98964,204.2114255,1010.8,48.6,54.76
NOR,Norway,5.232929,14.32717491,335.844,83.9,77.49
OMN,Oman,4.424762,14.29648465,3.756071553,64.3,51.32
PAK,Pakistan,193.203476,250.6271741,937.932,55.6,37.5
PAN,Panama,4.034119,54.26579231,86.06768552,63.9,62.71
PNG,Papua New Guinea,8.084991,17.85317979,31.35592138,-9999,39.35
PRY,Paraguay,6.725308,16.92753083,59.66275979,66.1,53.93
PER,Peru,31.773839,24.82331172,383.561,66,61.92
PHL,Philippines,103.320222,346.5144783,747.673,64.3,57.65
POL,Poland,37.948016,123.9361704,988.583,75.8,64.11
PRT,Portugal,10.324611,112.7079417,279.847,75.6,71.91
QAT,Qatar,2.569804,221.3440138,303.769,63.1,67.8
COG,Republic of Congo,5.125821,15.00972474,27.17400664,50.9,42.39
ROU,Romania,19.705301,85.64543202,425.792,74.1,64.78
RUS,Russia,144.342396,8.813796287,3581.3,68.9,63.79
RWA,Rwanda,11.917508,483.0769355,21.13868558,55,43.68
STP,SÃ£o TomÃ© and PrÃ­ncipe,0.19991,208.2395833,0.600108631,-9999,54.01
LCA,Saint Lucia,0.178015,291.8278689,2.138049426,-9999,56.18
VCT,Saint Vincent and the Grenadines,0.109643,281.1358974,1.164779859,-9999,66.48
WSM,Samoa,0.195125,68.94876325,1.154024137,-9999,54.5
SAU,Saudi Arabia,32.275687,15.01411227,1628.57,62.7,57.47
SEN,Senegal,15.411614,80.04785748,36.67118441,56.2,49.52
SRB,Serbia,7.057412,80.69302538,96.84578427,73.6,57.49
SYC,Seychelles,0.094677,205.8195652,2.491818981,-9999,66.02
SLE,Sierra Leone,7.39619,102.4686894,10.12412009,47.1,42.54
SGP,Singapore,5.607283,7908.720733,456.676,69,64.23
SVK,Slovakia,5.428704,112.8957285,158.647,76.9,70.6
SVN,Slovenia,2.064845,102.524578,61.80678355,80.5,67.57
SLB,Solomon Islands,0.599419,21.41546981,1.242422102,-9999,43.22
ZAF,South Africa,55.908865,46.08797781,685.452,61.2,44.73
KOR,South Korea,51.245707,525.7048318,1792.87,75.5,62.3
ESP,Spain,46.443959,92.84892145,1548.87,76.8,78.39
LKA,Sri Lanka,21.203,338.1119439,242.08,65.9,60.61
SDN,Sudan,39.578828,22.68897306,173.607,49.9,51.49
SUR,Suriname,0.558368,3.579282051,7.749023291,70.4,54.2
SWZ,Swaziland,1.343098,78.08709302,10.37360686,55,40.32
SWE,Sweden,9.903122,24.31347622,462.1,85.6,80.51
CHE,Switzerland,8.372098,211.866029,480.81,81.2,87.42
TWN,Taiwan,23.555,650.7445368,1097.717369,-9999,72.84
TJK,Tajikistan,8.734951,62.93827187,24.13104856,66.8,47.85
TZA,Tanzania,55.572201,62.73673628,139.38,52.1,50.83
THA,Thailand,68.863514,134.7912741,1079.99,69.5,49.88
TLS,Timor-Leste,1.268671,85.31748487,2.51788156,61.5,49.54
TGO,Togo,7.606374,139.848759,10.51284365,50.2,41.78
TON,Tonga,0.107122,148.7805556,0.570667517,-9999,62.49
TTO,Trinidad and Tobago,1.364962,266.0744639,41.58323861,69.1,67.36
TUN,Tunisia,11.403248,73.39886715,122.608,68.7,62.35
TUR,Turkey,79.512426,103.3125346,1888.94,68.5,52.96
TKM,Turkmenistan,5.662544,12.0497606,88.60960132,56.7,66.1
UGA,Uganda,41.487965,206.9018801,69.99362951,52.9,44.28
UKR,Ukraine,45.004645,77.68931796,327.215,72.7,52.87
ARE,United Arab Emirates,9.269612,110.8805263,622.297,66,58.9
GBR,United Kingdom,65.637239,271.3067375,2574.94,78.3,79.89
USA,United States of America,323.127513,35.32444263,17236.2,72.4,71.19
URY,Uruguay,3.444006,19.6777854,69.04173629,71,64.65
UZB,Uzbekistan,31.8482,74.86647861,192.327,71.2,45.88
VUT,Vanuatu,0.270402,22.18228056,0.772396637,-9999,44.55
VEN,Venezuela,31.568179,35.78955728,443.8400821,65.8,63.89
VNM,Viet Nam,92.7011,298.9682975,552.059,67.9,46.96
ZMB,Zambia,16.59139,22.31855419,60.50817421,51.1,50.97
ZWE,Zimbabwe,16.150362,41.74838309,30.35667456,56.1,43.41
